#{"t_start": 1769799961.743017, "env_id": "None"}
r,l,t
779.0,30,265.440234
645.0,15,265.628898
988.0,32,266.202772
1557.0,34,266.721064
1016.0,25,267.066476
683.0,17,267.330192
1381.0,33,267.910756
577.0,9,268.070906
875.0,22,268.388731
564.0,23,268.740326
752.0,21,269.092211
688.0,15,269.303101
1531.0,42,270.18221
1496.0,46,271.083081
618.0,24,271.411272
812.0,21,271.713856
947.0,28,272.282018
440.0,13,272.427643
665.0,10,272.555883
516.0,11,272.700202
742.0,24,273.126284
1879.0,45,274.064379
625.0,15,274.239982
761.0,21,274.583768
453.0,13,274.729194
646.0,14,274.906434
617.0,18,275.228829
679.0,24,275.625323
1176.0,38,276.238034
1238.0,35,276.875087
762.0,13,277.127558
501.0,12,277.259395
577.0,10,277.386573
407.0,12,277.546973
949.0,31,277.97837
1482.0,44,278.859078
845.0,14,279.023497
1127.0,38,279.650874
1423.0,35,280.321211
1307.0,36,280.86332
718.0,13,281.092325
508.0,11,281.238354
1184.0,36,282.258463
964.0,22,282.605024
1122.0,37,283.237569
493.0,19,283.524798
1132.0,25,285.990343
824.0,16,286.167292
850.0,19,286.442031
1294.0,39,287.294937
487.0,8,287.449564
1357.0,49,288.693559
1343.0,34,289.449201
1017.0,34,290.065568
448.0,12,290.187027
738.0,17,290.440498
1103.0,30,290.966588
804.0,17,291.234002
1535.0,40,291.882657
664.0,18,292.122899
414.0,14,292.297742
710.0,15,292.535584
1228.0,34,293.105438
544.0,21,293.457137
893.0,19,293.791718
675.0,18,293.981461
708.0,14,294.163831
724.0,16,294.344473
517.0,8,294.45028
521.0,18,294.762229
333.0,10,294.887995
1540.0,47,295.829625
904.0,25,296.208752
983.0,24,296.552436
666.0,12,296.684025
931.0,22,297.010916
468.0,11,297.149324
578.0,10,297.260492
389.0,12,297.396593
966.0,23,297.776413
1357.0,34,298.333862
822.0,20,298.654246
522.0,15,298.847957
907.0,21,299.137478
770.0,18,299.414032
731.0,18,299.647312
524.0,10,299.761689
468.0,12,299.903449
413.0,12,300.051349
484.0,15,300.243833
722.0,20,300.508405
1635.0,46,301.480185
520.0,10,301.627828
284.0,11,301.751377
637.0,15,301.965724
843.0,17,302.182486
387.0,8,302.298385
1373.0,42,303.148889
557.0,16,303.307274
1536.0,45,304.344355
993.0,21,304.705527
900.0,25,305.076806
724.0,15,305.27739
617.0,11,305.457565
1265.0,41,306.349377
1034.0,34,306.914897
520.0,15,307.094611
1579.0,43,307.924061
1712.0,44,308.77813
745.0,9,308.957875
735.0,15,309.181584
781.0,29,309.675381
698.0,17,309.909464
1166.0,32,310.392805
620.0,9,310.520826
476.0,11,310.637922
1289.0,32,311.157624
589.0,15,311.340673
972.0,29,311.766272
746.0,21,312.079842
416.0,16,312.320438
596.0,16,312.504302
1150.0,37,313.149783
1475.0,45,314.057264
725.0,16,314.272371
828.0,30,314.738647
1593.0,44,315.615405
488.0,17,315.812286
858.0,17,316.034708
469.0,12,316.17279
582.0,8,316.302692
582.0,20,316.571643
773.0,29,317.183681
424.0,7,317.280895
682.0,17,317.49672
1175.0,28,317.935388
538.0,23,318.321999
1471.0,47,319.270808
1064.0,31,319.834584
719.0,15,322.060938
496.0,13,322.232593
707.0,17,322.487575
417.0,14,322.65284
826.0,21,322.963568
940.0,26,323.401826
1280.0,33,324.045699
381.0,17,324.330203
997.0,30,324.954903
572.0,22,325.221929
499.0,13,325.381638
549.0,13,325.564632
626.0,9,325.706901
615.0,9,325.832149
661.0,12,326.004335
945.0,22,326.424637
1105.0,24,326.780887
1560.0,43,327.754056
1186.0,31,328.37358
941.0,21,328.778792
531.0,8,328.873578
718.0,12,329.031588
888.0,21,329.27487
578.0,16,329.458935
861.0,22,329.826629
433.0,13,329.967251
676.0,9,330.099361
514.0,16,330.28269
483.0,13,330.426944
548.0,15,330.643108
813.0,17,330.925972
1031.0,25,331.317895
384.0,12,331.471021
975.0,21,331.779968
1103.0,37,332.456112
1176.0,36,333.366521
1413.0,47,334.265517
855.0,19,334.529029
1178.0,27,335.043185
1671.0,46,336.042473
983.0,24,336.392005
376.0,14,336.631405
823.0,23,336.951241
737.0,22,337.37789
1055.0,32,337.868406
1490.0,45,338.742706
687.0,19,338.992883
594.0,14,339.21205
701.0,11,339.366502
622.0,15,339.531505
1076.0,45,340.845862
643.0,9,341.00963
796.0,17,341.24951
835.0,16,341.496533
1232.0,37,342.140064
1095.0,35,342.670726
644.0,17,342.888933
1334.0,35,343.462653
1111.0,29,344.141239
1414.0,45,345.151615
638.0,14,345.300754
947.0,26,345.695612
577.0,9,345.843533
497.0,14,345.981589
347.0,11,346.092293
323.0,13,346.24895
717.0,16,346.50842
620.0,18,346.72941
737.0,20,347.062107
927.0,20,347.295787
677.0,21,347.541725
1378.0,35,348.147023
1056.0,23,348.49261
695.0,15,348.713383
655.0,11,348.856142
1351.0,38,349.49394
666.0,11,349.647928
599.0,15,349.856894
418.0,9,349.958321
939.0,32,350.46266
658.0,19,350.675051
461.0,13,350.8301
1618.0,46,351.861444
958.0,19,352.147162
914.0,19,352.461859
1517.0,37,353.275731
693.0,12,353.484061
746.0,22,353.871757
1123.0,29,354.476335
1551.0,44,355.356633
567.0,10,355.515405
1461.0,43,356.413956
662.0,15,356.617313
1066.0,32,359.081724
496.0,15,359.295414
997.0,32,359.847583
883.0,25,360.220692
711.0,19,360.462599
996.0,24,360.908376
769.0,9,361.025177
1193.0,27,361.494271
524.0,12,361.644483
613.0,12,361.7994
388.0,12,361.934235
894.0,23,362.281485
815.0,24,362.612787
764.0,13,362.814466
1461.0,47,363.855129
430.0,9,363.971487
986.0,26,364.435171
619.0,9,364.554577
1395.0,31,365.129688
1376.0,43,365.957823
468.0,13,366.100706
657.0,15,366.266114
435.0,14,366.447047
915.0,19,366.733248
583.0,16,366.941125
927.0,25,367.282464
375.0,12,367.418955
755.0,18,367.647071
988.0,23,367.973248
650.0,18,368.243319
322.0,13,368.397023
819.0,18,368.627564
1490.0,46,369.660548
550.0,18,369.925082
1421.0,42,370.798126
959.0,34,371.324096
1082.0,28,371.752041
1031.0,20,372.083414
421.0,15,372.33595
1039.0,26,372.706942
674.0,19,372.963699
509.0,8,373.070953
888.0,18,373.388073
940.0,21,373.751986
874.0,19,374.076086
1721.0,46,375.001319
590.0,16,375.227807
1634.0,44,375.972331
745.0,16,376.190809
707.0,19,376.416201
854.0,16,376.628448
704.0,14,376.809894
829.0,16,377.014788
1447.0,40,377.932121
1498.0,45,378.814238
1024.0,31,379.382854
837.0,16,379.629845
310.0,8,379.734408
1529.0,40,380.563168
694.0,16,380.760319
675.0,15,380.96582
1101.0,48,381.95723
1345.0,44,382.870397
484.0,13,383.023848
674.0,25,383.465188
912.0,28,384.006907
434.0,9,384.102053
502.0,29,384.582632
818.0,28,385.056231
552.0,12,385.18053
563.0,11,385.32689
570.0,8,385.433459
614.0,16,385.62699
564.0,14,385.878288
1689.0,45,386.957058
832.0,17,387.19728
959.0,26,387.568086
553.0,13,387.751952
375.0,9,387.881644
491.0,14,388.057747
700.0,17,388.277904
666.0,18,388.53717
1172.0,42,389.379613
537.0,8,389.490039
573.0,18,389.705455
668.0,16,390.011382
584.0,14,390.209723
865.0,19,390.490915
786.0,16,390.688607
442.0,8,390.782057
1027.0,24,391.223732
401.0,12,391.335775
1173.0,39,392.131439
782.0,28,392.58375
1059.0,27,395.008145
1067.0,29,395.480868
823.0,16,395.704589
1212.0,36,396.309325
776.0,17,396.610028
750.0,23,396.96894
673.0,10,397.08256
555.0,14,397.230961
719.0,22,397.549942
915.0,29,398.145836
598.0,19,398.392213
1298.0,31,398.962996
1172.0,31,399.531091
807.0,31,400.034357
765.0,14,400.206725
871.0,20,400.490377
503.0,15,400.7039
463.0,17,400.924868
